# 1629 FLIRT/identified names (VC6/MFC42/std)
0x004197F0 __fseek_lk
0x00419890 _fflush
0x004198D0 __fflush_lk
0x00419910 __flush
0x00419980 __flushall
0x00419990 _flsall
0x00419A50 __cinit
0x00419A80 _exit
0x00419AA0 __exit
0x00419AC0 _doexit
0x00419B80 __lockexit
0x00419B90 __unlockexit
0x00419BA0 __initterm
0x00419BC0 __msize
0x00419C30 __expand
0x00419CE0 _strtol
0x00419D00 _strtoxl
0x00419F90 _strtoul
0x00419FB0 __setmbcp
0x0041A1D0 _getSystemCP
0x0041A220 _CPtoLCID
0x0041A280 _setSBCS
0x0041A2B0 ___initmbctable
0x0041A2C0 _gmtime
0x0041A430 _strlen
0x0041A4B0 __fpmath
0x0041A4D0 __cfltcvt_init
0x0041A510 __ftol
0x0041A540 _calloc
0x0041A5F0 __alldiv
0x0041A6A0 __allmul
0x0041A6E0 __allshr
0x0041A710 __mtinitlocks
0x0041A740 __lock
0x0041A7C0 __unlock
0x0041A7E0 __lock_file
0x0041A820 __lock_file2
0x0041A850 __unlock_file
0x0041A890 __unlock_file2
0x0041A8C0 ___InternalCxxFrameHandler
0x0041A990 ?FindHandler@@YAXPAUEHExceptionRecord@@PAUEHRegistrationNode@@PAU_CONTEXT@@PAXPBU_s_FuncInfo@@EH1@Z
0x0041AC50 ?FindHandlerForForeignException@@YAXPAUEHExceptionRecord@@PAUEHRegistrationNode@@PAU_CONTEXT@@PAXPBU_s_FuncInfo@@HH1@Z
0x0041AD30 ___FrameUnwindToState
0x0041AE10 ?CatchIt@@YAXPAUEHExceptionRecord@@PAUEHRegistrationNode@@PAU_CONTEXT@@PAXPBU_s_FuncInfo@@PBU_s_HandlerType@@PBU_s_CatchableType@@PBU_s_TryBlockMapEntry@@H1@Z
0x0041AEA0 ?CallCatchBlock@@YAPAXPAUEHExceptionRecord@@PAUEHRegistrationNode@@PAU_CONTEXT@@PBU_s_FuncInfo@@PAXHK@Z
0x0041B000 ?ExFilterRethrow@@YAHPAU_EXCEPTION_POINTERS@@@Z
0x0041B030 ?BuildCatchObject@@YAXPAUEHExceptionRecord@@PAUEHRegistrationNode@@PBU_s_HandlerType@@PBU_s_CatchableType@@@Z
0x0041B240 ?_DestructExceptionObject@@YAXPAUEHExceptionRecord@@E@Z
0x0041B2C0 ?AdjustPointer@@YAPAXPAXABUPMD@@@Z
0x0041B2F0 __CallSettingFrame@12
0x0041B340 __mtinit
0x0041B3A0 __initptd
0x0041B3C0 __getptd
0x0041B440 ?terminate@@YAXXZ
0x0041B560 __flsbuf
0x0041B690 __output
0x0041C020 _write_char
0x0041C070 _write_multi_char
0x0041C0B0 _write_string
0x0041C0F0 _get_int_arg
0x0041C110 _get_int64_arg
0x0041C130 _get_short_arg
0x0041C150 __ftime
0x0041C210 __aulldiv
0x0041C280 __aullrem
0x0041C300 __input
0x0041D040 __hextodec
0x0041D080 _fgetc
0x0041D0B0 __un_inc
0x0041D0D0 __whiteout
0x0041D120 __openfile
0x0041D2F0 __getstream
0x0041D3D0 __close
0x0041D440 __close_lk
0x0041D4D0 __freebuf
0x0041D510 __write
0x0041D590 __write_lk
0x0041D7A0 __isctype
0x0041D840 _realloc
0x0041D9F0 ?__CxxUnhandledExceptionFilter@@YGJPAU_EXCEPTION_POINTERS@@@Z
0x0041DA50 ?__CxxSetUnhandledExceptionFilter@@YAXXZ
0x0041DA70 ?__CxxRestoreUnhandledExceptionFilter@@YAXXZ
0x0041DA88 __except_handler3
0x0041DB45 __seh_longjmp_unwind@4
0x0041DB60 __heap_init
0x0041DBA0 ___sbh_new_region
0x0041DD10 ___sbh_release_region
0x0041DD70 ___sbh_decommit_pages
0x0041DE40 ___sbh_find_block
0x0041DEA0 ___sbh_free_block
0x0041DF00 ___sbh_alloc_block
0x0041E140 ___sbh_alloc_block_from_page
0x0041E2C0 ___sbh_resize_block
0x0041E390 ___tzset
0x0041E3D0 __tzset_lk
0x0041E6B0 __isindst
0x0041E950 _cvtdate
0x0041EAF0 ___loctotime_t
0x0041EBE0 ___crtLCMapStringA
0x0041EE00 _strncnt
0x0041EE30 __strcmpi
0x0041EF00 ??_Gexception@@UAEPAXI@Z_0
0x0041EF20 ??0exception@@QAE@ABQBD@Z
0x0041EF80 ??0exception@@QAE@ABV0@@Z
0x0041EFF0 ??1exception@@UAE@XZ
0x0041F010 ?what@exception@@UBEPBDXZ
0x0041F020 __XcptFilter
0x0041F230 _xcptlookup
0x0041F270 __ismbblead
0x0041F290 _x_ismbbtype
0x0041F2D0 __setenvp
0x0041F3C0 __setargv
0x0041F460 _parse_cmdline
0x0041F670 ___crtGetEnvironmentStringsA
0x0041F7D0 __ioinit
0x0041F9E0 __FF_MSGBANNER
0x0041FA20 __NMSG_WRITE
0x0041FC00 __callnewh
0x0041FC20 _strpbrk
0x0041FC60 __strrev
0x0041FC90 _strspn
0x0041FCD0 _strcspn
0x0041FD10 _strrchr
0x0041FD40 ___crtGetStringTypeW
0x0041FED0 ___crtGetStringTypeA
0x00420000 ___initstdio
0x004200C0 ___endstdio
0x004200E0 __filbuf
0x004201D0 __read
0x00420250 __read_lk
0x00420480 __stbuf
0x00420520 __ftbuf
0x00420560 __lseek
0x004205E0 __lseek_lk
0x00420660 __commit
0x00420700 _toupper
0x00420790 _toupper_0
0x00420890 __setdefaultprecision
0x004208B0 __ms_p5_test_fdiv
0x00420900 __ms_p5_mp_test_fdiv
0x00420930 __forcdecpt
0x00420990 __cropzeros
0x00420A00 __positive
0x00420A20 __fassign
0x00420A80 __cftoe
0x00420B00 __cftoe2
0x00420C00 __cftof
0x00420C70 __cftof2
0x00420D30 __cftog
0x00420DF0 __cfltcvt
0x00420E60 __shift
0x00420E90 ?_ValidateRead@@YAHPBXI@Z
0x00420EB0 ?_ValidateWrite@@YAHPAXI@Z
0x00420ED0 ?_ValidateExecute@@YAHP6GHXZ@Z
0x00420EF0 _abort
0x00420F10 __getbuf
0x00420F70 __isatty
0x00420FA0 _wctomb
0x00421010 __wctomb_lk
